チーム,ポジション,背番号,名前,生年月日,身長,体重
ベガルタ仙台,MF,31,茂木　駿佑,1996/10/02,168,64
ベガルタ仙台,MF,34,椎橋　慧也,1997/06/20,177,69
ベガルタ仙台,FW,9,平山　相太,1985/06/06,190,85
ベガルタ仙台,FW,11,石原　直樹,1984/08/14,173,62
ベガルタ仙台,FW,20,クリスラン,1992/03/13,187,85
ベガルタ仙台,FW,30,西村　拓真,1996/10/22,178,72
ベガルタ仙台,FW,,ジャーメイン　良,1995/04/19,182,75
FC東京,GK,1,大久保　択生,1989/09/18,190,92
FC東京,GK,30,廣末　陸,1998/07/06,183,78
FC東京,GK,33,林　彰洋,1987/05/07,195,91
FC東京,GK,39,大本　竜司,2000/05/01,175,70
FC東京,GK,46,高瀬　和楠,1999/08/06,182,77
FC東京,GK,50,波多野　豪,1998/05/25,197,87
FC東京,DF,2,室屋　成,1994/04/05,176,68
FC東京,DF,3,森重　真人,1987/05/21,183,76
FC東京,DF,4,吉本　一謙,1988/04/24,185,83
FC東京,DF,5,丸山　祐市,1989/06/16,184,76
FC東京,DF,6,太田　宏介,1987/07/23,178,78
FC東京,DF,14,チャン　ヒョンス,1991/09/28,187,77
FC東京,DF,22,徳永　悠平,1983/09/25,180,77
FC東京,DF,25,小川　諒也,1996/11/24,180,78
FC東京,DF,26,柳　貴博,1997/08/05,184,78
FC東京,DF,29,岡崎　慎,1998/10/10,181,72
FC東京,DF,31,岡庭　愁人,1999/09/16,169,64
FC東京,DF,36,山田　将之,1994/10/01,186,75
FC東京,DF,44,草住　晃之介,2000/07/12,176,67
FC東京,DF,49,長谷川　光基,1999/04/27,178,69
FC東京,MF,7,米本　拓司,1990/12/03,177,70
FC東京,MF,8,高萩　洋次郎,1986/08/02,183,69
FC東京,MF,10,梶山　陽平,1985/09/24,180,75
FC東京,MF,18,石川　直宏,1981/05/12,175,70
FC東京,MF,19,平岡　翼,1996/02/23,165,62
FC東京,MF,21,ユ　インス,1994/12/28,177,69
FC東京,MF,24,佐々木　渉,1996/07/28,174,66
FC東京,MF,27,田邉　草民,1990/04/06,175,68
FC東京,MF,28,内田　宅哉,1998/06/02,177,68
FC東京,MF,32,寺山　翼,2000/04/10,178,70
FC東京,MF,35,鈴木　喜丈,1998/07/06,182,77
FC東京,MF,37,橋本　拳人,1993/08/16,181,74
FC東京,MF,38,東　慶悟,1990/07/20,178,72
FC東京,MF,40,平川　怜,2000/04/20,175,67
FC東京,MF,41,久保　建英,2001/06/04,170,63
FC東京,MF,42,小林　真鷹,1999/07/13,174,64
FC東京,MF,43,品田　愛斗,1999/09/19,180,66
FC東京,MF,47,小林　幹,1999/04/27,182,72
FC東京,MF,51,リッピ　ヴェローゾ,1997/04/07,179,76
FC東京,MF,52,ジャキット,1997/01/26,173,70
FC東京,FW,9,ピーター　ウタカ,1984/02/12,181,79
FC東京,FW,13,大久保　嘉人,1982/06/09,170,73
FC東京,FW,15,永井　謙佑,1989/03/05,178,71
FC東京,FW,20,前田　遼一,1981/10/09,183,78
FC東京,FW,45,原　大智,1999/05/05,187,73
FC東京,FW,53,今村　涼一,2000/05/08,179,62
清水エスパルス,GK,1,西部　洋平,1980/12/01,187,79
清水エスパルス,GK,13,六反　勇治,1987/04/10,188,80
清水エスパルス,GK,21,高木和　徹,1995/04/15,185,81
清水エスパルス,GK,41,梅田　透吾,2000/07/23,182,76
清水エスパルス,GK,43,植草　裕樹,1982/07/02,186,80
清水エスパルス,GK,52,新井　栄聡,1995/09/27,187,84
清水エスパルス,DF,3,犬飼　智也,1993/05/12,182,77
清水エスパルス,DF,4,カヌ,1985/12/29,186,83
清水エスパルス,DF,5,鎌田　翔雅,1989/06/15,172,68
清水エスパルス,DF,16,村松　大輔,1989/12/16,176,73
清水エスパルス,DF,25,松原　后,1996/08/30,182,72
清水エスパルス,DF,26,二見　宏志,1992/03/20,179,75
清水エスパルス,DF,27,飯田　貴敬,1994/08/31,179,73
清水エスパルス,DF,33,立田　悠悟,1998/06/21,189,75
清水エスパルス,DF,42,監物　拓歩,2000/06/02,189,77
清水エスパルス,DF,44,フレイレ,1989/08/21,187,82
清水エスパルス,DF,45,角田　誠,1983/07/10,180,78
清水エスパルス,DF,48,伊藤　研太,1999/05/12,176,62
清水エスパルス,MF,2,清水　航平,1989/04/30,169,67
清水エスパルス,MF,6,杉山　浩太,1985/01/24,177,68
清水エスパルス,MF,7,六平　光成,1991/01/16,176,66
清水エスパルス,MF,10,白崎　凌兵,1993/05/18,181,70
清水エスパルス,MF,17,河井　陽介,1989/08/04,166,59
清水エスパルス,MF,20,竹内　涼,1991/03/08,173,66
清水エスパルス,MF,22,枝村　匠馬,1986/11/16,176,70
清水エスパルス,MF,24,増田　誓志,1985/06/19,179,75
清水エスパルス,MF,32,光崎　伸,1997/08/22,180,75
清水エスパルス,MF,47,新関　成弥,1999/04/28,178,69
清水エスパルス,MF,49,宮本　優,1999/05/17,171,69
清水エスパルス,MF,50,滝　裕太,1999/08/29,167,56
清水エスパルス,FW,8,チアゴ　アウベス,1993/01/12,181,72
清水エスパルス,FW,9,鄭　大世,1984/03/02,181,80
清水エスパルス,FW,11,村田　和哉,1988/10/07,169,64
清水エスパルス,FW,18,長谷川　悠,1987/07/05,187,78
清水エスパルス,FW,19,ミッチェル　デューク,1991/01/18,186,84
清水エスパルス,FW,23,北川　航也,1996/07/26,180,74
清水エスパルス,FW,30,金子　翔太,1995/05/02,163,58
清水エスパルス,FW,46,平墳　迅,1999/05/19,180,77
清水エスパルス,FW,51,鈴木　魁人,1999/08/16,175,68
サンフレッチェ広島,GK,1,林　卓人,1982/08/09,188,87
サンフレッチェ広島,GK,21,廣永　遼太郎,1990/01/09,186,82
サンフレッチェ広島,GK,34,中林　洋次,1986/04/28,182,73
サンフレッチェ広島,GK,,大迫　敬介,1999/07/28,185,77
サンフレッチェ広島,DF,2,野上　結貴,1991/04/20,180,72
サンフレッチェ広島,DF,3,高橋　壮也,1996/02/29,170,65
サンフレッチェ広島,DF,4,水本　裕貴,1985/09/12,183,74
サンフレッチェ広島,DF,5,千葉　和彦,1985/06/21,183,77
サンフレッチェ広島,DF,19,佐々木　翔,1989/10/02,176,67
サンフレッチェ広島,DF,25,イヨハ　理　ヘンリー,1998/06/23,181,73
サンフレッチェ広島,DF,40,丹羽　大輝,1986/01/16,181,72
サンフレッチェ広島,DF,43,椋原　健太,1989/07/06,172,64
サンフレッチェ広島,DF,,川井　歩,1999/08/12,176,63
サンフレッチェ広島,MF,6,青山　敏弘,1986/02/22,174,75
サンフレッチェ広島,MF,7,茶島　雄介,1991/07/20,166,60
サンフレッチェ広島,MF,8,森崎　和幸,1981/05/09,177,75
サンフレッチェ広島,MF,10,フェリペ　シウバ,1990/05/28,171,76
サンフレッチェ広島,MF,14,ミキッチ,1980/01/06,177,68
サンフレッチェ広島,MF,15,稲垣　祥,1991/12/25,175,72
サンフレッチェ広島,MF,18,柏　好文,1987/07/28,168,62
サンフレッチェ広島,MF,28,丸谷　拓也,1989/05/30,179,73
サンフレッチェ広島,MF,29,森島　司,1997/04/25,173,64
サンフレッチェ広島,MF,30,柴崎　晃誠,1984/08/28,176,65
サンフレッチェ広島,MF,32,松本　泰志,1998/08/22,178,66
サンフレッチェ広島,MF,,川村　拓夢,1999/08/28,180,65
サンフレッチェ広島,MF,,仙波　大志,1999/08/19,164,62
サンフレッチェ広島,MF,,満田　誠,1999/07/20,168,60
サンフレッチェ広島,FW,20,ネイサン　バーンズ,1988/05/07,173,70
サンフレッチェ広島,FW,22,皆川　佑介,1991/10/09,186,84
サンフレッチェ広島,FW,31,宮吉　拓実,1992/08/07,172,66
サンフレッチェ広島,FW,39,パトリック,1987/10/26,189,82
サンフレッチェ広島,FW,44,アンデルソン　ロペス,1993/09/15,185,82
サンフレッチェ広島,FW,50,工藤　壮人,1990/05/06,177,74
ヴァンフォーレ甲府,GK,1,河田　晃兵,1987/10/13,184,73
ヴァンフォーレ甲府,GK,23,岡　大生,1988/04/18,185,75
ヴァンフォーレ甲府,GK,31,岡西　宏祐,1990/07/17,186,80
ヴァンフォーレ甲府,GK,33,山内　康太,1999/11/05,186,73
ヴァンフォーレ甲府,DF,3,畑尾　大翔,1990/09/16,183,79
ヴァンフォーレ甲府,DF,4,山本　英臣,1980/06/26,175,69
ヴァンフォーレ甲府,DF,5,新里　亮,1990/07/02,184,70
ヴァンフォーレ甲府,DF,6,エデル　リマ,1986/02/05,187,73
ヴァンフォーレ甲府,DF,16,松橋　優,1985/03/22,173,69
ヴァンフォーレ甲府,DF,17,津田　琢磨,1980/10/04,179,71
ヴァンフォーレ甲府,DF,22,小出　悠太,1994/10/20,178,76
ヴァンフォーレ甲府,DF,26,熊谷　駿,1996/08/07,190,84
ヴァンフォーレ甲府,DF,27,阿部　翔平,1983/12/01,170,72
ヴァンフォーレ甲府,DF,32,入間川　景太,1999/05/20,179,71
ヴァンフォーレ甲府,DF,35,高野　遼,1994/11/13,171,68
ヴァンフォーレ甲府,MF,2,島川　俊郎,1990/05/28,180,75
ヴァンフォーレ甲府,MF,7,石原　克哉,1978/10/02,176,64
ヴァンフォーレ甲府,MF,8,新井　涼平,1990/11/03,183,67
ヴァンフォーレ甲府,MF,11,堀米　勇輝,1992/12/13,168,62
ヴァンフォーレ甲府,MF,14,田中　佑昌,1986/02/03,176,75
ヴァンフォーレ甲府,MF,15,兵働　昭弘,1982/05/12,180,73
ヴァンフォーレ甲府,MF,18,道渕　諒平,1994/06/16,177,74
ヴァンフォーレ甲府,MF,19,若杉　好輝,1995/11/08,174,64
ヴァンフォーレ甲府,MF,20,黒木　聖仁,1989/10/24,180,72
ヴァンフォーレ甲府,MF,24,曽根田　穣,1994/08/29,171,69
ヴァンフォーレ甲府,MF,28,橋爪　勇樹,1990/08/10,175,65
ヴァンフォーレ甲府,MF,30,保坂　一成,1983/03/24,172,63
ヴァンフォーレ甲府,MF,40,小椋　祥平,1985/09/08,175,67
ヴァンフォーレ甲府,FW,10,ドゥドゥ,1990/04/21,180,75
ヴァンフォーレ甲府,FW,13,河本　明人,1990/05/01,174,71
ヴァンフォーレ甲府,FW,25,森　晃太,1997/06/13,175,69
ヴァンフォーレ甲府,FW,29,ビリー,1986/04/21,188,85
ヴァンフォーレ甲府,FW,39,リンス,1987/09/11,172,69
アルビレックス新潟,GK,1,大谷　幸輝,1989/04/08,186,90
アルビレックス新潟,GK,21,守田　達弥,1990/08/03,191,87
アルビレックス新潟,GK,22,川浪　吾郎,1991/04/30,193,84
アルビレックス新潟,GK,31,稲田　康志,1985/06/19,187,84
アルビレックス新潟,DF,2,大野　和成,1989/08/04,180,75
アルビレックス新潟,DF,4,ソン　ジュフン,1994/01/13,190,83
アルビレックス新潟,DF,5,前野　貴徳,1988/04/14,172,64
アルビレックス新潟,DF,19,矢野　貴章,1984/04/05,187,78
アルビレックス新潟,DF,24,川口　尚紀,1994/05/24,177,72
アルビレックス新潟,DF,25,長谷川　巧,1998/10/06,179,68
アルビレックス新潟,DF,26,酒井　高聖,1996/03/20,183,78
アルビレックス新潟,DF,27,堀米　悠斗,1994/09/09,168,64
アルビレックス新潟,DF,35,山賀　和輝,1999/07/31,180,70
アルビレックス新潟,DF,44,大武　峻,1992/11/24,189,86
アルビレックス新潟,DF,50,富澤　清太郎,1982/07/08,181,75
アルビレックス新潟,MF,6,磯村　亮太,1991/03/16,182,73
アルビレックス新潟,MF,8,小泉　慶,1995/04/19,173,70
アルビレックス新潟,MF,10,チアゴ　ガリャルド,1989/07/20,183,75
アルビレックス新潟,MF,13,加藤　大,1991/05/07,175,70
アルビレックス新潟,MF,15,本間　勲,1981/04/19,173,67
アルビレックス新潟,MF,17,伊藤　優汰,1992/09/18,172,67
アルビレックス新潟,MF,18,成岡　翔,1984/05/31,175,70
アルビレックス新潟,MF,20,端山　豪,1993/04/09,176,70
アルビレックス新潟,MF,23,酒井　宣福,1992/11/09,179,82
アルビレックス新潟,MF,29,森　俊介,1994/10/04,175,73
アルビレックス新潟,MF,30,ロメロ　フランク,1987/08/19,177,77
アルビレックス新潟,MF,34,原　輝綺,1998/07/30,178,70
アルビレックス新潟,MF,36,本間　至恩,2000/08/09,161,48
アルビレックス新潟,MF,40,小川　佳純,1984/08/25,173,67
アルビレックス新潟,FW,7,ホニ,1995/05/11,170,65
アルビレックス新潟,FW,9,山崎　亮平,1989/03/14,173,76
アルビレックス新潟,FW,11,ドウグラス　タンキ,1993/10/27,188,92
アルビレックス新潟,FW,14,田中　達也,1982/11/27,167,63
アルビレックス新潟,FW,32,河田　篤秀,1992/09/18,177,77
アルビレックス新潟,FW,37,渡邉　新太,1995/08/05,170,66
アルビレックス新潟,FW,39,富山　貴光,1990/12/26,180,73
大宮アルディージャ,GK,1,加藤　順大,1984/12/11,180,79
大宮アルディージャ,GK,21,塩田　仁史,1981/05/28,185,83
大宮アルディージャ,GK,32,加藤　有輝,1997/09/20,187,79
大宮アルディージャ,GK,50,松井　謙弥,1985/09/10,187,72
大宮アルディージャ,DF,2,菊地　光将,1985/12/16,182,72
大宮アルディージャ,DF,3,河本　裕之,1985/09/04,183,72
大宮アルディージャ,DF,4,山越　康平,1993/05/04,183,78
大宮アルディージャ,DF,6,河面　旺成,1994/05/03,183,75
大宮アルディージャ,DF,13,渡部　大輔,1989/04/19,170,67
大宮アルディージャ,DF,19,奥井　諒,1990/03/07,169,62
大宮アルディージャ,DF,20,大屋　翼,1986/08/13,180,79
大宮アルディージャ,DF,22,和田　拓也,1990/07/28,170,63
大宮アルディージャ,DF,25,高山　和真,1996/07/14,179,72
大宮アルディージャ,DF,35,キム　ドンス,1995/02/21,188,82
大宮アルディージャ,MF,7,江坂　任,1992/05/31,175,67
大宮アルディージャ,MF,15,大山　啓輔,1995/05/07,174,62
大宮アルディージャ,MF,16,マテウス,1994/09/11,167,69
大宮アルディージャ,MF,17,横谷　繁,1987/05/03,179,71
大宮アルディージャ,MF,23,金澤　慎,1983/09/09,174,67
大宮アルディージャ,MF,27,黒川　淳史,1998/02/04,170,60
大宮アルディージャ,MF,28,長谷川　アーリアジャスール,1988/10/29,186,76
大宮アルディージャ,MF,37,カウエ,1989/05/24,186,84
大宮アルディージャ,MF,38,山田　陸,1998/04/15,176,72
大宮アルディージャ,MF,40,茨田　陽生,1991/05/30,173,69
大宮アルディージャ,MF,44,瀬川　祐輔,1994/02/07,170,67
大宮アルディージャ,MF,46,奥抜　侃志,1999/08/11,171,60
大宮アルディージャ,MF,47,岩上　祐三,1989/07/28,170,69
大宮アルディージャ,FW,10,大前　元紀,1989/12/10,167,68
大宮アルディージャ,FW,11,播戸　竜二,1979/08/02,171,67
大宮アルディージャ,FW,14,清水　慎太郎,1992/08/23,176,73
大宮アルディージャ,FW,33,マルセロ　トスカーノ,1985/05/12,184,83
