名前,グループ,チーム,公式ニックネーム,所属事務所,生年月日,年齢,出身地,血液型,身長(cm),スリーサイズ,合格期,選抜回数,グループ(兼任),チーム(兼任),サイリウム
植村梓,NMB48,チームBII,あずさ,Showtitle,1999/02/04,18,大阪府,O,157.5,,ポスト山田菜々,2回,,,
太田夢莉,NMB48,チームBII,ゆーり,Showtitle,1999/12/01,17,奈良県,AB,162,,3期生,6回,,,
沖田彩華,NMB48,チームBII,あーぽん,Showtitle,1995/10/11,22,広島県,AB,157.5,,1期生,4回,,,
久代梨奈,NMB48,チームBII,りなっち,Showtitle,1999/01/29,18,大阪府,O,162,,3期生,3回,,,
清水里香,NMB48,チームBII,りかてぃー,Showtitle,1998/09/15,19,千葉県,O,160,,5期生,0回,,,
城恵理子,NMB48,チームBII,ジョー,Showtitle,1998/11/27,19,兵庫県,A,156.5,,4.5期生（元2期生）,NMB48 7回 AKB48 1回,,,
上西怜,NMB48,チームBII,れーちゃん,Showtitle,2001/05/28,16,滋賀県,A,151,,5期生,1回,,,
武井紗良,NMB48,チームBII,さららん,Showtitle,1998/10/06,19,大阪府,O,160,,ドラフト1期生,0回,,,
中川美音,NMB48,チームBII,みおん,Showtitle,2002/11/16,15,大阪府,不明,148,,5期生,0回,,,
水田詩織,NMB48,チームBII,しおり,Showtitle,1998/12/21,18,愛媛県,B,153,,5期生,0回,,,
村瀬紗英,NMB48,チームBII,さえぴぃ,Showtitle,1997/03/30,20,大阪府,A,159,,2期生,8回,,,
森田彩花,NMB48,チームBII,あやてぃん,Showtitle,1995/05/29,22,兵庫県,O,158,,4期生,0回,,,
矢倉楓子,NMB48,チームBII,ふぅちゃん,Showtitle,1997/02/24,20,大阪府,A,156,,2期生,NMB48 14回 AKB48 2回,,,
秋吉優花,HKT48,チームH,ゆかちゃん,AKS,2000/10/24,17,福岡県,B,157,,2期生,2回,,,
宇井真白,HKT48,チームH,ましろ,AKS,2000/01/31,17,福岡県,A,155,,2期生,0回,,,
上野遥,HKT48,チームH,はるたん,AKS,1999/09/20,18,福岡県,A,155,,2期生,0回,,,
神志那結衣,HKT48,チームH,じーな,AKS,1998/01/24,19,福岡県,AB,163,,2期生,5回,,,
駒田京伽,HKT48,チームH,ぴーちゃん,AKS,1996/11/21,21,宮崎県,A,158,,2期生,1回,,,
坂口理子,HKT48,チームH,りこぴ,AKS,1994/07/26,23,福岡県,A,164,,2期生,2回,,,
指原莉乃,HKT48,チームH,さっしー,太田プロダクション,1992/11/21,25,大分県,O,159,B73（Aカップ）,AKB48 5期生,HKT48 10回 AKB48 33回 STU48 1回,,,
田島芽瑠,HKT48,チームH,める,AKS,2000/01/07,17,福岡県,B,163,,2期生,HKT48 9回 AKB48 2回,,,
田中菜津美,HKT48,チームH,なつみかん,AKS,2000/08/10,17,福岡県,A,170.4,,1期生,HKT48 1回 SKE48 0回,,,オレンジ 紫
田中美久,HKT48,チームH,みくりん,AKS,2001/09/12,16,熊本県,B,149,,3期生,HKT48 7回 AKB48 1回,,,
豊永阿紀,HKT48,チームH,あき,AKS,1999/10/25,18,福岡県,B,158,,4期生,1回,,,
松岡菜摘,HKT48,チームH,なつ,AKS,1996/08/08,21,福岡県,A,161,,1期生,9回,,,
山田麻莉奈,HKT48,チームH,まりり,AKS,1995/03/24,22,福岡県,B,155,,2期生,0回,,,
山本茉央,HKT48,チームH,まお,AKS,1996/09/18,21,福岡県,不明,156,,ドラフト1期生,1回,,,
今田美奈,HKT48,チームKIV,みなぞう,AKS,1997/03/05,20,福岡県,O,168,,1期生,0回,,,
岩花詩乃,HKT48,チームKIV,しの,AKS,2000/04/01,17,福岡県,A,153,,2期生,0回,,,
植木南央,HKT48,チームKIV,なお,AKS,1997/08/12,20,福岡県,AB,157,,1期生,2回,,,
運上弘菜,HKT48,チームKIV,なっぴ,AKS,1998/08/09,19,北海道,B,155,,4期生,0回,,,
熊沢世莉奈,HKT48,チームKIV,せりーぬ,AKS,1997/04/17,20,福岡県,O,164,,1期生,0回,,,
下野由貴,HKT48,チームKIV,しなもん,AKS,1998/04/02,19,福岡県,O,162,,1期生,2回,,,
田中優香,HKT48,チームKIV,ゆうたん,AKS,2000/06/07,17,福岡県,AB,159,,2期生,2回,,,
地頭江音々,HKT48,チームKIV,ねねちゃん,AKS,2000/09/27,17,宮崎県,不明,156,,4期生,1回,,,
冨吉明日香,HKT48,チームKIV,あすか,AKS,1997/09/20,20,宮崎県,O,159,,2期生,2回,,,
深川舞子,HKT48,チームKIV,まいこむ,AKS,1999/07/05,18,福岡県,B,159,,1期生,0回,,,
渕上舞,HKT48,チームKIV,まいちゃん,AKS,1996/09/21,21,福岡県,A,157,,2期生,7回,,,
村重杏奈,HKT48,チームKIV,あーにゃ,AKS,1998/07/29,19,山口県,O,163,,1期生,HKT48 4回 NMB48 0回,,,
本村碧唯,HKT48,チームKIV,あおいたん,AKS,1997/05/31,20,福岡県,A,155,,1期生,8回,,,
森保まどか,HKT48,チームKIV,まどか,AKS,1997/07/26,20,長崎県,A,168,B80.5 W64 H89,1期生,HKT48 9回 AKB48 1回,,,
荒巻美咲,HKT48,チームTII,みるん,AKS,2001/01/28,16,福岡県,不明,160,,3期生,1回,,,
今村麻莉愛,HKT48,チームTII,まーさん,AKS,2003/09/14,14,群馬県,不明,140,,ドラフト2期生,1回,,,
小田彩加,HKT48,チームTII,ODA,AKS,1999/02/09,18,福岡県,不明,153,,4期生,1回,,,
栗原紗英,HKT48,チームTII,さえちゃん,AKS,1996/06/20,21,福岡県,O,164,,3期生,1回,,,
堺萌香,HKT48,チームTII,おいもちゃん,AKS,1998/08/25,19,福岡県,A,148,,4期生,0回,,,
坂本愛玲菜,HKT48,チームTII,えれたん,AKS,2000/09/12,17,福岡県,A,153,,3期生,1回,,,
清水梨央,HKT48,チームTII,りおちゃん,AKS,2003/10/11,14,福岡県,AB,152,,4期生,0回,,,
武田智加,HKT48,チームTII,もかちゃん,AKS,2003/02/25,14,神奈川県,不明,151,,4期生,1回,,,
月足天音,HKT48,チームTII,あまちゃん,AKS,1999/10/26,18,福岡県,O,151,,4期生,2回,,,
外薗葉月,HKT48,チームTII,はづき,AKS,1999/01/17,18,福岡県,A,152,,3期生,0回,,,
松岡はな,HKT48,チームTII,はな,AKS,2000/01/19,17,千葉県,不明,159,,ドラフト2期生,HKT48 4回 AKB48 4回,,,
松本日向,HKT48,チームTII,ひなた,AKS,2000/12/11,16,大阪府,AB,163,,4期生,0回,,,
宮﨑想乃,HKT48,チームTII,そのちん,AKS,2000/10/30,17,佐賀県,A,161,,4期生,0回,,,
村川緋杏,HKT48,チームTII,びびあん,AKS,1999/12/03,17,福岡県,O,157,,ドラフト2期生,,,,
山内祐奈,HKT48,チームTII,ゆうな,AKS,1999/07/06,18,福岡県,A,155,,3期生,0回,,,
山下エミリー,HKT48,チームTII,エミリー,AKS,1998/12/19,18,福岡県,O,162,,3期生,1回,,,
荻野由佳,NGT48,チームNIII,おぎゆか ゆか,ホリプロ,1999/02/16,18,埼玉県,A,160,,ドラフト2期生,NGT48 2回 AKB48 2回,,,オレンジ 白
小熊倫実,NGT48,チームNIII,つぐみん,AKS,2002/12/15,14,新潟県,B,156,,1期生,2回,,,ピンク 白
加藤美南,NGT48,チームNIII,かとみな,AKS,1999/01/15,18,新潟県,O,152,,1期生,NGT48 2回 AKB48 1回,,,水色 白
北原里英,NGT48,チームNIII,きたりえ,太田プロダクション,1991/06/24,26,愛知県,A,157,B78 W57 H83,5期生,NGT48 2回 AKB48 30回 SKE48 1回,,,水色 緑
佐藤杏樹,NGT48,チームNIII,あんじゅ シュガちゃん,AKS,2001/11/05,16,新潟県,A,151,,1期生,2回,,,青 白
菅原りこ,NGT48,チームNIII,りったん,AKS,2000/11/23,17,新潟県,O,155,,1期生,2回,,,緑 赤
高倉萌香,NGT48,チームNIII,もっちゃん おかっぱ,AKS,2001/04/23,16,新潟県,O,158,,1期生,NGT48 2回 AKB48 1回,,,茶色
太野彩香,NGT48,チームNIII,アヤカニ,AKS,1997/07/20,20,兵庫県,B,158,,1期生,2回,,,
中井りか,NGT48,チームNIII,りかちゃん りか姫,AKS,1997/08/23,20,富山県,A,156,,1期生,NGT48 2回 AKB48 4回,,,ピンク
西潟茉莉奈,NGT48,チームNIII,潟姉 がたねぇ,AKS,1995/10/16,22,東京都,O,158,,ドラフト2期生,2回,,,ピンク 紫
長谷川玲奈,NGT48,チームNIII,れなぽん,AKS,2001/03/15,16,新潟県,O,158,,1期生,2回,,,緑 白
本間日陽,NGT48,チームNIII,ひなたん・ひなひな,AKS,1999/11/10,18,新潟県,B,159,,1期生,NGT48 2回 AKB48 1回,,,ピンク 赤
村雲颯香,NGT48,チームNIII,もふちゃん,AKS,1997/07/05,20,秋田県,O,163,,1期生,2回,,,
山口真帆,NGT48,チームNIII,まほほん まほほ,AKS,1995/09/17,22,青森県,O,161,,1期生,2回,,,ピンク 水色
山田野絵,NGT48,チームNIII,のえピー のえ,AKS,1999/10/07,18,埼玉県,A,158,,1期生,2回,,,黄 赤
角ゆりあ,NGT48,研究生,ゆーりん 角ちゃん,AKS,2000/06/22,17,石川県,A,154,,1期生,1回,,,薄ピンク エメラルドグリーン
日下部愛菜,NGT48,研究生,あいにゃー,AKS,2002/02/06,15,神奈川県,A,158,,1期生,,,,緑 黄
清司麗菜,NGT48,研究生,れいにゃー れいな,AKS,2001/04/19,16,埼玉県,O,151,,1期生,,,,紫 白
髙橋真生,NGT48,研究生,まうちゃん まうまう,AKS,2001/06/03,16,新潟県,A,160,,1期生,,,,黄 ピンク
中村歩加,NGT48,研究生,あゆたろう,AKS,1998/07/28,19,新潟県,AB,161,,1期生,,,,赤 水色
奈良未遥,NGT48,研究生,みはちゃん,AKS,1998/03/20,19,青森県,A,160,,1期生,,,,黄 白
西村菜那子,NGT48,研究生,なーちゃん,AKS,1997/08/11,20,長野県,O,163,,1期生,,,,紫
宮島亜弥,NGT48,研究生,あやにゃん あやや,AKS,1997/11/27,20,新潟県,O,160,,1期生,1回,,,白 白
石田千穂,STU48,,ちほちゃん,STU,2002/03/17,15,広島県,O,157,,1期,1回,,,
石田みなみ,STU48,,みい,STU,1998/10/11,19,兵庫県,O,153,,1期,1回,,,
磯貝花音,STU48,,かのん・きゃのん,STU,2000/06/01,17,愛知県,A,163,,1期,1回,,,
市岡愛弓,STU48,,あゆみん,STU,2003/08/21,14,福岡県,A,158,,1期,1回,,,
今村美月,STU48,,みちゅ,STU,2000/02/19,17,広島県,O,158,,1期,1回,,,
岩田陽菜,STU48,,ひなちゃん・ひなぴよ,STU,2003/02/21,14,山口県,A,148,,1期,1回,,,
大谷満理奈,STU48,,マリーナ・天来ちゃん,STU,2004/02/14,13,山口県,A,156,,1期,0回,,,
尾﨑舞美,STU48,,ぽんちゃん・まみみん,STU,2000/12/18,16,愛媛県,O,166,,1期,0回,,,
甲斐心愛,STU48,,さんしろー・ここあ,STU,2003/11/28,13,広島県,B,149,,1期,0回,,,
門田桃奈,STU48,,ももちゃん,STU,1999/08/26,18,愛媛県,O,161,,1期,0回,,,
門脇実優菜,STU48,,みゆみゆ,STU,2003/03/11,14,兵庫県,O,152,,1期,1回,,,
榊美優,STU48,,CUCA（くーか）・さかき,STU,2002/04/28,15,香川県,O,151,,1期,0回,,,
佐野遥,STU48,,はるるん,STU,1995/08/16,22,大阪府,A,166,,1期,1回,,,
塩井日奈子,STU48,,ひーこ・ムーニーちゃん,STU,2000/01/07,17,高知県,B,160,,1期,0回,,,
新谷野々花,STU48,,のんちゃん,STU,2004/05/23,13,広島県,O,146,,1期,0回,,,
菅原早記,STU48,,さっきー,STU,2001/11/14,16,岡山県,B,160,,1期,0回,,,
瀧野由美子,STU48,,ゆみりん,STU,1997/09/24,20,山口県,O,164,,1期,STU48 1回 AKB48 1回,,,
田中皓子,STU48,,こっこ・こーこ,STU,1996/06/16,21,佐賀県,A,159,,1期,0回,,,
谷口茉妃菜,STU48,,まひ・まひな,STU,2000/02/03,17,徳島県,A,160,,1期,0回,,,
張織慧,STU48,,おちょちゃん,STU,2001/10/18,16,岡山県,A,159,,1期,0回,,,
土路生優里,STU48,,とろちゃん・ゆりりん,STU,1999/03/24,18,広島県,AB,158,,1期,1回,,,
兵頭葵,STU48,,あおい,STU,2001/01/18,16,愛媛県,A,159,,1期,0回,,,
福田朱里,STU48,,ふくちゃん,STU,1999/03/29,18,香川県,O,164,,1期,1回,,,
藤原あずさ,STU48,,あず,STU,1998/05/10,19,岡山県,A,163,,1期,1回,,,
三島遥香,STU48,,ぱると,STU,1998/04/18,19,徳島県,B,156,,1期,0回,,,
峯吉愛梨沙,STU48,,ありちゃん,STU,2004/09/02,13,広島県,A,147,,1期,0回,,,
森香穂,STU48,,かほたる,STU,1997/06/01,20,三重県,B,151,,1期,1回,,,
森下舞羽,STU48,,はっちゃん,STU,2004/10/04,13,山口県,A,153,,1期,0回,,,
矢野帆夏,STU48,,なっちゃん・ほのたん・矢野ちゃん,STU,1999/08/06,18,広島県,B,157,,1期,0回,,,
薮下楓,STU48,,ふう,STU,2000/10/07,17,大阪府,AB,154,,1期,1回,,,
秋元真夏,乃木坂46,,,乃木坂46合同会社,1993/08/20,24,埼玉県,B,153,,1期生,16回,,,ピンク 赤
生田絵梨花,乃木坂46,,,乃木坂46合同会社,1997/01/22,20,東京都,A,160,,1期生,18回,,,黄色 黄色
生駒里奈,乃木坂46,,いこま いこまちゃん いこたん,乃木坂46合同会社,1995/12/29,21,秋田県,AB,153,,1期生,乃木坂46 19回 AKB48 4回,,,青 紫
伊藤かりん,乃木坂46,,,乃木坂46合同会社,1993/05/26,24,神奈川県,O,154,,2期生,0回,,,緑 紫 (出来れば ミントグリーン 藤色 のような薄い、パステルっぽい色)
伊藤純奈,乃木坂46,,じゅんな,乃木坂46合同会社,1998/11/30,18,神奈川県,A,165,,2期生,0回,,,ピンク 水色
伊藤万理華,乃木坂46,,,乃木坂46合同会社,1996/02/20,21,神奈川県,O,155,,1期生,11回,,,緑 紫
井上小百合,乃木坂46,,,乃木坂46合同会社,1994/12/14,22,埼玉県,B,154,B80 W58 H83,1期生,13回,,,白 白
衛藤美彩,乃木坂46,,,乃木坂46合同会社,1993/01/04,24,大分県,AB,162,B82 W59 H78,1期生,12回,,,赤 紫
川後陽菜,乃木坂46,,,乃木坂46合同会社,1998/03/22,19,長崎県,O,158,,1期生,1回,,,ハート型サイリウム(何色でも可)
川村真洋,乃木坂46,,,乃木坂46LLC（合同会社）,1995/07/23,22,大阪府,A,156,,1期生,2回,,,赤 赤 または 赤 白
北野日奈子,乃木坂46,,,乃木坂46合同会社,1996/07/17,21,,O,157,,2期生,5回,,,ピンク 黄緑
齋藤飛鳥,乃木坂46,,,乃木坂46合同会社,1998/08/10,19,東京都,O,154,,1期生,12回,,,白 水色
斎藤ちはる,乃木坂46,,,乃木坂46合同会社,1997/02/17,20,埼玉県,A,166,,1期生,1回,,,赤 青
斉藤優里,乃木坂46,,,乃木坂46合同会社,1993/07/20,24,東京都,O,156,,1期生,8回,,,ピンク 白
相楽伊織,乃木坂46,,いおり,乃木坂46合同会社,1997/11/26,20,埼玉県,O,164,,2期生,1回,,,緑 オレンジ
桜井玲香,乃木坂46,,,乃木坂46合同会社,1994/05/16,23,神奈川県,A,155,,1期生,19回,,,赤 ピンク
佐々木琴子,乃木坂46,,ことこ、こったん,乃木坂46合同会社,1998/08/28,19,埼玉県,A,163,,2期生,0回,,,青 緑
白石麻衣,乃木坂46,,,乃木坂46合同会社,1992/08/20,25,群馬県,A,162,,1期生,19回,,,水色 水色
新内眞衣,乃木坂46,,,乃木坂46合同会社,1992/01/22,25,埼玉県,B,164,,2期生,5回,,,青 紫
鈴木絢音,乃木坂46,,あーちゃん,乃木坂46合同会社,1999/03/05,18,秋田県,O,162,,2期生,0回,,,白 紫
高山一実,乃木坂46,,,乃木坂46合同会社,1994/02/08,23,千葉県,A,161,,1期生,19回,,,水色 ピンク
寺田蘭世,乃木坂46,,らんらん,乃木坂46合同会社,1998/09/23,19,東京都,不明,155,,2期生,1回,,,赤 白
中田花奈,乃木坂46,,,乃木坂46合同会社,1994/08/06,23,埼玉県,A,157,,1期生,7回,,,黒 白
中元日芽香,乃木坂46,,,乃木坂46合同会社,1996/04/13,21,広島県,O,161,,1期生,3回,,,ピンク ピンク
西野七瀬,乃木坂46,,,乃木坂46合同会社,1994/05/25,23,大阪府,O,159,,1期生,19回,,,緑 白
能條愛未,乃木坂46,,,乃木坂46合同会社,1994/10/18,23,神奈川県,A,163,,1期生,2回,,,オレンジ オレンジ
樋口日奈,乃木坂46,,,乃木坂46合同会社,1998/01/31,19,東京都,A,157,,1期生,2回,,,紫 オレンジ
星野みなみ,乃木坂46,,,乃木坂46合同会社,1998/02/06,19,千葉県,B,152,,1期生,17回,,,白 白 （2016年3月までは 水色 オレンジ ）
堀未央奈,乃木坂46,,,乃木坂46合同会社,1996/10/15,21,岐阜県,O,160,,2期生,11回,,,オレンジ 白
松村沙友理,乃木坂46,,,乃木坂46合同会社,1992/08/27,25,大阪府,B,163,,1期生,19回,,,ピンク 赤
山﨑怜奈,乃木坂46,,れなち,乃木坂46合同会社,1997/05/21,20,東京都,B,164,,2期生,0回,,,黄色 白
若月佑美,乃木坂46,,,乃木坂46合同会社,1994/06/27,23,静岡県,O,157,,1期生,17回,,,青 青
和田まあや,乃木坂46,,,乃木坂46合同会社,1998/04/23,19,広島県,O,157,,1期生,1回,,,黄色 一本 2本なら 黄色 オレンジ
渡辺みり愛,乃木坂46,,みーちゃん、みりりん,乃木坂46合同会社,1999/11/01,18,東京都,O,151,,2期生,0回,,,黄色 黄緑
伊藤理々杏,乃木坂46,,,乃木坂46合同会社,2002/10/08,15,沖縄県,B,154,,3期生,,,,
岩本蓮加,乃木坂46,,,乃木坂46合同会社,2004/02/02,13,東京都,B,157,,3期生,,,,
梅澤美波,乃木坂46,,,乃木坂46合同会社,1999/01/06,18,神奈川県,A,170,,3期生,,,,
久保史緒里,乃木坂46,,,乃木坂46合同会社,2001/07/14,16,宮城県,O,159,,3期生,,,,
大園桃子,乃木坂46,,,乃木坂46合同会社,1999/09/13,18,鹿児島県,O,156,,3期生,1回,,,
阪口珠美,乃木坂46,,,乃木坂46合同会社,2001/11/10,16,東京都,A,161,,3期生,,,,
佐藤楓,乃木坂46,,,乃木坂46合同会社,1998/03/23,19,愛知県,A,161,,3期生,,,,
中村麗乃,乃木坂46,,,乃木坂46合同会社,2001/09/27,16,東京都,,167,,3期生,,,,
向井葉月,乃木坂46,,,乃木坂46合同会社,1999/08/23,18,東京都,A,152,,3期生,,,,
山下美月,乃木坂46,,,乃木坂46合同会社,1999/07/26,18,東京都,O,159,,3期生,,,,
吉田綾乃クリスティー,乃木坂46,,,乃木坂46合同会社,1995/09/06,22,大分県,A,161,,3期生,,,,
与田祐希,乃木坂46,,,乃木坂46合同会社,2000/05/05,17,福岡県,O,152,,3期生,1回,,,
石森虹花,欅坂46,,,,1997/05/07,20,宮城県,A,162,,1期生,5回,,,ピンク 白 or 虹色
今泉佑唯,欅坂46,,,,1998/09/30,19,神奈川県,O,154,,1期生,5回,,,赤 緑 赤 赤 （ゆいちゃんず） 黄 黄 （夏の花は向日葵だけじゃない）
上村莉菜,欅坂46,,,,1997/01/04,20,千葉県,O,152.5,,1期生,5回,,,ピンク ピンク
尾関梨香,欅坂46,,,,1997/10/07,20,神奈川県,O,155,,1期生,5回,,,黄色 白
織田奈那,欅坂46,,,,1998/06/04,19,静岡県,O,161.1,,1期生,5回,,,オレンジ 緑
小池美波,欅坂46,,,,1998/11/14,19,兵庫県,B,159,,1期生,5回,,,オレンジ 白
小林由依,欅坂46,,,,1999/10/23,18,埼玉県,A,160,,1期生,5回,,,青 黄色 赤 赤 （ゆいちゃんず）
齋藤冬優花,欅坂46,,,,1998/02/15,19,東京都,O,157,,1期生,5回,,,黄色 黄色
佐藤詩織,欅坂46,,,,1996/11/16,21,東京都,A,162,,1期生,5回,,,青 紫
志田愛佳,欅坂46,,,,1998/11/23,19,新潟県,A,165,,1期生,5回,,,白 白
菅井友香,欅坂46,,,,1995/11/29,21,東京都,AB,163.5,,1期生,5回,,,紫色 黄色
鈴本美愉,欅坂46,,,,1997/12/05,19,愛知県,AB,155,,1期生,5回,,,白 水色
長沢菜々香,欅坂46,,,,1997/04/23,20,山形県,A,158,,1期生,5回,,,赤 白
長濱ねる,欅坂46,,,,1998/09/04,19,長崎県,O,157,,1.5期,4回,,,紫 紫
土生瑞穗,欅坂46,,,,1997/07/07,20,東京都,A,171,,1期生,5回,,,ピンク 水色
原田葵,欅坂46,,,,2000/05/07,17,東京都,AB,156,,1期生,5回,,,オレンジ 黄色
平手友梨奈,欅坂46,,,ソニー・ミュージックレーベルズ,2001/06/25,16,愛知県,O,165,,1期生,5回,,,緑 緑 「山手線」 赤 赤 「渋谷からPARCOが消えた日」
守屋茜,欅坂46,,,,1997/11/12,20,宮城県,A,163,,1期生,5回,,,赤 白
米谷奈々未,欅坂46,,,,2000/02/24,17,大阪府,B,157,,1期生,5回,,,水色 緑
渡辺梨加,欅坂46,,,,1995/05/16,22,茨城県,O,165,,1期生,5回,,,水色 水色
渡邉理佐,欅坂46,,,,1998/07/27,19,茨城県,O,163,,1期生,5回,,,白 青
井口眞緒,けやき坂46,,,,1995/11/10,22,新潟県,AB,163,,けやき坂46,0回,,,オレンジ オレンジ
潮紗理菜,けやき坂46,,,,1997/12/26,19,神奈川県,O,157,,けやき坂46,0回,,,紫 白
柿崎芽実,けやき坂46,,,,2001/12/02,15,長野県,A,156,,けやき坂46,0回,,,
影山優佳,けやき坂46,,,,2001/05/08,16,東京都,O,154,,けやき坂46,0回,,,赤 赤
加藤史帆,けやき坂46,,,,1998/02/02,19,東京都,A,159,,けやき坂46,0回,,,青 青
齊藤京子,けやき坂46,,,,1997/09/05,20,東京都,A,155,,けやき坂46,0回,,,ピンク 青
佐々木久美,けやき坂46,,,,1996/01/22,21,千葉県,O,166,,けやき坂46,0回,,,紫 紫
佐々木美玲,けやき坂46,,,,1999/12/17,17,兵庫県,O,163,,けやき坂46,0回,,,水色 赤
高瀬愛奈,けやき坂46,,,,1998/09/20,19,大阪府,A,157,,けやき坂46,0回,,,ピンク 緑
高本彩花,けやき坂46,,,,1998/11/02,19,神奈川県,B,160,,けやき坂46,0回,,,緑 白
東村芽依,けやき坂46,,,,1998/08/23,19,奈良県,O,153,,けやき坂46,0回,,,赤 白
金村美玖,けやき坂46,,,ソニー・ミュージックレーベルズ,2002/09/10,15,埼玉県,O,,,けやき坂46 2期,0回,,,
河田陽菜,けやき坂46,,,ソニー・ミュージックレーベルズ,2001/07/23,16,山口県,B,,,けやき坂46 2期,0回,,,
小坂菜緒,けやき坂46,,,ソニー・ミュージックレーベルズ,2002/09/07,15,大阪府,O,,,けやき坂46 2期,0回,,,
富田鈴花,けやき坂46,,,ソニー・ミュージックレーベルズ,2001/01/18,16,神奈川県,A,,,けやき坂46 2期,0回,,,
丹生明里,けやき坂46,,,ソニー・ミュージックレーベルズ,2001/02/15,16,埼玉県,AB,,,けやき坂46 2期,0回,,,
濱岸ひより,けやき坂46,,,ソニー・ミュージックレーベルズ,2002/09/28,15,福岡県,A,,,けやき坂46 2期,0回,,,
松田好花,けやき坂46,,,ソニー・ミュージックレーベルズ,1999/04/27,18,京都府,A,,,けやき坂46 2期,0回,,,
宮田愛萌,けやき坂46,,,ソニー・ミュージックレーベルズ,1998/04/28,19,東京都,A,,,けやき坂46 2期,0回,,,
渡邉美穂,けやき坂46,,,ソニー・ミュージックレーベルズ,2000/02/24,17,埼玉県,不明,,,けやき坂46 2期,0回,,,
